rank,bot,elo,matches,wins,losses,ties,win_rate,avg_score_delta,search_rate,search_conversion,prime_rate,carpet_rate,avg_carpet_len,avg_time_left
166,LongGameAgent,1532.7,752,308,415,29,0.4289,-3.56,0.0640,0.5816,0.4149,0.1865,2.12,39.1
167,UNK:Rat most likely at (6, 3) with p=,1531.6,31,11,16,4,0.4194,-4.06,0.1315,0.4969,0.3919,0.1524,2.24,165.4
168,UNK:I think the rat is most likely at (0, 0),1531.3,57,21,35,1,0.3772,-3.74,0.0548,0.4080,0.4456,0.1807,2.32,129.4
169,UNK:rat_catch_points=4, prime_carpet_points=,1530.8,50,24,26,0,0.4800,-1.44,0.0715,0.3916,0.4635,0.1600,2.50,20.7
170,UNK:turns=40, depth=16, nodes=128, searches=,1527.1,40,18,22,0,0.4500,-2.30,0.1406,0.5289,0.4406,0.1394,2.34,88.7
171,UNK:Turn 40 | depth: 100 | nodes: 11 | rat:,1526.3,67,34,28,5,0.5448,1.37,0.1313,0.6108,0.4354,0.1507,2.34,23.4
172,UNK:DIAGNOSTIC | Turns: 40 | Avg Depth:,1523.3,108,48,55,5,0.4676,-0.15,0.1514,0.5382,0.4190,0.1558,2.36,25.0
173,UNK:Turn 40 | depth: 100 | nodes: 16 | rat:,1522.9,31,17,13,1,0.5645,2.97,0.1403,0.5690,0.4290,0.1532,2.35,21.6
174,BeliefPeak_Bot,1522.3,898,420,452,26,0.4822,0.43,0.0644,0.7213,0.4094,0.1578,2.24,216.0
175,BaselineHMM,1521.9,464,231,215,18,0.5172,1.44,0.1585,0.5797,0.4005,0.1620,2.25,161.7
176,UNK:Rocco: HMM + negamax. max_depth=13 hist=,1518.3,238,104,121,13,0.4643,0.72,0.1641,0.5896,0.4168,0.1110,2.48,98.7
177,UNK:HMMMiniAB turns=40, depth=8, searches=,1517.6,284,143,135,6,0.5141,1.86,0.0623,0.6864,0.4353,0.1670,2.31,180.0
178,UNK:Primer depth 5, nodes 12, tt_hits 0, sea,1516.5,31,8,20,3,0.3065,-5.97,0.1750,0.5853,0.3298,0.1435,2.38,236.8
179,UNK:Turns: 40 | searches chosen: 7 | best po,1515.9,89,23,65,1,0.2640,-6.25,0.1750,0.5746,0.3258,0.1680,2.03,227.6
180,UNK:GG,1515.6,266,105,150,11,0.4154,-0.95,0.1734,0.5258,0.4090,0.1425,2.32,177.5
181,TurnSearchHits_Bot,1513.7,529,212,301,16,0.4159,-1.33,0.1044,0.5923,0.4578,0.1213,2.41,219.1
182,UNK:v10 online. Strategist search with v8 sp,1513.1,30,16,14,0,0.5333,-3.40,0.1267,0.6053,0.3733,0.1308,2.38,48.8
183,UNK:Agent: RLEE
